Adjustable Uncertainty Set Constrained Unit Commitment With Operation Risk Reduced Through Demand Response,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
"Plant-wide interoperability and decoupled, data-driven process control with message bus communication",JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION
Service-oriented distributionally robust lane reservation,JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION
Exploring the public bus ridership loss and recovery during the COVID-19 pandemic: a spatiotemporal analysis using smart card data,JOURNAL OF MAPS
Uncovering the spatially heterogeneous effects of shared mobility on public transit and taxi,JOURNAL OF TRANSPORT GEOGRAPHY
"Exploring home-to-school trip mode choices in Kandy, Sri Lanka",JOURNAL OF TRANSPORT GEOGRAPHY
Measuring accessibility to health care services for older bus passengers: A finer spatial resolution,JOURNAL OF TRANSPORT GEOGRAPHY
An open-source program for spatial decomposition of bus transit networks,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE
COVID-19 influence on commuters' attitude towards riding public buses for essential trips,CITIES
Network Identification Using mu-PMU and Smart Meter Measurements,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
A Novel Dynamic Index to Determine Stressful Transmission Lines,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
"Multi-city exploration of built environment and transit mode use: Comparison of Melbourne, Amsterdam and Boston",JOURNAL OF TRANSPORT GEOGRAPHY
'Mobility work': Older adults' experiences using public transportation,JOURNAL OF TRANSPORT GEOGRAPHY
Hybrid Imitation Learning for Real-Time Service Restoration in Resilient Distribution Systems,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
Boundary-rendering network for breast lesion segmentation in ultrasound images,MEDICAL IMAGE ANALYSIS
"Spatial and socio-economic analysis of public transport systems in large cities: A case study for Belo Horizonte, Brazil",JOURNAL OF TRANSPORT GEOGRAPHY
Real-Time Framework for Monitoring Cyber Disruptions in Power Grids,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
The impact of mixes of transportation options on residential property values: Synergistic effects of walkability,CITIES
Multiscalar Deliberative Transportation Planning Empowerment Without Autonomy and Bus Priority in London,JOURNAL OF THE AMERICAN PLANNING ASSOCIATION
An Improved Sparse-Measurement-Based Fault Location Technology for Distribution Networks,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
Conflicted translations: an analysis of the bus rapid transit policy adoption process in Cape Town,TERRITORY POLITICS GOVERNANCE
Battery Thermal- and Health-Constrained Energy Management for Hybrid Electric Bus Based on Soft Actor-Critic DRL Algorithm,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
False-Data-Injection-Enabled Network Parameter Modifications in Power Systems: Attack and Detection,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
Walking School Bus Program Feasibility in a Suburban Setting,JOURNAL OF PLANNING EDUCATION AND RESEARCH
Transit-based accessibility and urban development: An exploratory study of Shenzhen based on big and/or open data,CITIES
A Precise Synchronization Method for Future Wireless TSN Networks,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
A Flexible Risk-Averse Strategy Considering Uncertainties of Demand and Multiple Wind Farms in Electrical Grids,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
"Determinants of transit-oriented development efficiency focusing on an integrated subway, bus and shared-bicycle system: Application of Simar-Wilson's two-stage approach",CITIES
Affects and assemblages of (un)safety among female bus commuters in Dhaka,GEOFORUM
Data-Driven Detection of Stealthy False Data Injection Attack Against Power System State Estimation,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
A bus as a compressed public space: Everyday multiculturalism in Milan,URBAN STUDIES
Shadow men: The third wheel of public transport in Ghana,JOURNAL OF URBAN AFFAIRS
Storage Allocation in Active Distribution Networks Considering Life Cycle and Uncertainty,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
Distributed nonlinear state estimation using adaptive penalty parameters with load characteristics in the Electricity Reliability Council of Texas,JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION
"Does the access transport mode affect visitors ? satisfaction in a World Heritage City? The case of Valparaiso, Chile",JOURNAL OF TRANSPORT GEOGRAPHY
Using mobile phone data to determine spatial correlations between tourism facilities,JOURNAL OF TRANSPORT GEOGRAPHY
